city,lat,lon,population
London,51.5074,-0.1278,9541000
Birmingham,52.4862,-1.8904,2570000
Manchester,53.4808,-2.2426,2730000
Leeds,53.8008,-1.5491,1901000
Glasgow,55.8642,-4.2518,1673000
Liverpool,53.4084,-2.9916,1423000
Newcastle upon Tyne,54.9783,-1.6178,1129000
Sheffield,53.3811,-1.4701,1292000
Bristol,51.4545,-2.5879,724000
Edinburgh,55.9533,-3.1883,548000
Nottingham,52.9548,-1.1581,806000
Leicester,52.6369,-1.1398,559000
Coventry,52.4068,-1.5197,432000
Cardiff,51.4816,-3.1791,488000
Stoke-on-Trent,53.0027,-2.1794,401000
Bradford,53.7960,-1.7594,546000
Hull,53.7676,-0.3274,314000
Plymouth,50.3755,-4.1427,264000
Derby,52.9225,-1.4746,275000
Southampton,50.9097,-1.4044,269000
Portsmouth,50.8198,-1.0880,249000
Luton,51.8787,-0.4200,225000
Preston,53.7632,-2.7031,313000
Milton Keynes,52.0406,-0.7594,264000
Norwich,52.6309,1.2974,213000
Aberdeen,57.1497,-2.0943,229000
Swansea,51.6214,-3.9436,246000
Bournemouth,50.7192,-1.8808,196000
Middlesbrough,54.5742,-1.2350,376000
Sunderland,54.9069,-1.3838,277000
Reading,51.4543,-0.9781,344000
Brighton,50.8225,-0.1372,290000
Oxford,51.7520,-1.2577,162000
Cambridge,52.2053,0.1218,146000
York,53.9600,-1.0873,153000
Ipswich,52.0567,1.1482,144000
Exeter,50.7184,-3.5339,131000
Gloucester,51.8642,-2.2380,132000
Peterborough,52.5695,-0.2405,216000
Northampton,52.2405,-0.9027,245000
Dundee,56.4620,-2.9707,148000
Inverness,57.4778,-4.2247,64000
Perth,56.3950,-3.4308,47000
Stirling,56.1165,-3.9369,37000
Carlisle,54.8925,-2.9329,75000
Lancaster,54.0466,-2.8007,52000
Chester,53.1934,-2.8931,92000
Shrewsbury,52.7073,-2.7539,76000
Worcester,52.1920,-2.2200,103000
Bath,51.3811,-2.3590,94000
Swindon,51.5686,-1.7722,233000
Taunton,51.0150,-3.1060,64000
Truro,50.2632,-5.0510,21000
Aberystwyth,52.4153,-4.0829,15000
Bangor,53.2280,-4.1280,16000
Wrexham,53.0466,-2.9924,65000
Hereford,52.0567,-2.7160,63000
Lincoln,53.2307,-0.5406,104000
Grimsby,53.5675,-0.0815,86000
Scarborough,54.2831,-0.3998,61000
Blackpool,53.8175,-3.0357,139000
Dover,51.1279,1.3134,31000
Southend-on-Sea,51.5459,0.7077,182000
Colchester,51.8959,0.8919,122000
Ashford,51.1465,0.8750,75000
Salisbury,51.0688,-1.7945,41000
Kings Lynn,52.7517,0.4023,43000
Fort William,56.8198,-5.1052,10000
Ayr,55.4586,-4.6292,46000
Dumfries,55.0709,-3.6051,33000
Berwick-upon-Tweed,55.7692,-2.0025,12000
Holyhead,53.3097,-4.6331,11000
Fishguard,51.9939,-4.9746,3200
Penzance,50.1188,-5.5376,21000
